SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1647835811.955135, 17.341951, -11.744008, -12.913426, 2.011261, -0.383246, 2.691759, , , 
1647835811.975146, 14.013113, -9.643246, -10.890026, 2.614535, -0.291235, 3.571858, , , 
1647835811.995250, 12.087277, -8.052149, -8.674642, 2.831983, -0.456037, 4.272503, , , 
1647835812.014345, 9.766098, -6.250812, -7.351247, 3.104206, -0.516819, 5.083574, , , 
1647835812.035172, 4.496011, -3.965546, -4.109797, 3.415392, -0.141702, 5.268201, , , 
1647835812.055163, 0.626982, -3.286790, -0.708384, 3.333746, 0.601533, 5.046111, , , 
1647835812.075193, -2.316240, -2.627936, 0.861164, 3.046829, 1.128418, 4.816582, , , 
1647835812.095146, -5.843049, -1.751957, 1.795951, 2.625422, 1.092530, 4.304178, , , 
1647835812.115215, -8.447492, -1.549797, 3.559729, 2.017583, 0.921705, 3.760419, , , 
1647835812.135154, -11.549030, -1.384597, 5.251532, 1.197217, 1.047860, 3.172774, , , 
1647835812.155171, -15.007903, -0.834080, 5.035455, 0.283138, 1.254618, 2.121530, , , 
1647835812.175182, -17.135750, -0.664241, 3.296067, -0.374460, 1.052302, 0.643389, , , 
1647835812.195171, -16.656162, -0.944363, 1.984644, -0.755296, 0.730533, -0.863784, , , 
1647835812.215174, -14.562133, -1.379060, 1.065719, -0.987487, 0.507303, -2.047129, , , 
1647835812.235155, -12.569708, -1.974468, 0.917428, -1.225012, 0.375640, -2.993371, , , 
1647835812.255132, -11.181520, -2.507028, 0.995689, -1.363687, 0.708357, -3.897867, , , 
1647835812.275168, -9.267206, -2.577807, 1.141735, -1.434272, 1.333601, -4.939178, , , 
1647835812.295167, -5.216965, -2.211045, 0.763451, -1.640046, 1.835693, -5.852493, , , 
1647835812.314331, 1.099387, -2.569278, -2.075623, -1.952062, 1.328182, -6.227409, , , 
1647835812.335170, 7.582137, -4.652233, -3.916764, -2.146306, 0.324518, -5.851619, , , 
